,worker_id,gender,english_first_language,age_group,education
457,1470,female,0,30-45,bachelors
458,2807,female,0,18-30,bachelors
459,1453,female,0,30-45,bachelors
460,2497,male,0,18-30,hs
461,193,female,0,30-45,masters
462,3197,male,0,30-45,bachelors
463,65,male,1,18-30,hs
464,558,male,0,18-30,bachelors
465,3758,male,1,18-30,professional
466,3592,male,0,18-30,bachelors
467,3611,male,0,45-60,masters
468,1688,male,0,30-45,bachelors
469,1050,female,0,18-30,bachelors
470,1427,male,0,18-30,hs
471,137,male,1,18-30,bachelors
472,1114,male,0,18-30,bachelors
473,3648,female,1,18-30,bachelors
474,2470,male,0,18-30,hs
475,2419,male,0,18-30,professional
476,1911,male,0,18-30,masters
477,3269,male,0,30-45,bachelors
478,1335,male,0,Over 60,professional
479,4134,male,0,45-60,masters
480,693,male,0,30-45,masters
481,174,female,0,18-30,hs
482,3514,male,0,18-30,hs
483,149,male,1,30-45,professional
484,2420,female,0,18-30,bachelors
485,185,female,0,18-30,hs
486,1731,male,1,30-45,hs
487,635,female,0,Over 60,professional
488,1083,female,0,45-60,hs
489,282,male,0,45-60,masters
490,782,male,0,30-45,bachelors
491,1771,male,0,Under 18,hs
492,3885,female,0,18-30,bachelors
493,621,male,0,30-45,professional
494,1410,male,0,18-30,professional
495,534,male,0,18-30,hs
496,854,female,0,45-60,professional
497,2922,female,0,45-60,hs
498,398,male,1,45-60,bachelors
499,656,male,0,18-30,professional
500,100,male,1,18-30,professional
501,1629,male,1,30-45,hs
502,217,male,0,30-45,bachelors
503,403,male,0,18-30,bachelors
504,1507,male,0,18-30,bachelors
505,781,male,0,18-30,hs
506,4267,male,0,30-45,professional
507,721,male,0,18-30,hs
508,165,male,0,45-60,professional
509,1281,male,0,18-30,hs
510,1054,male,0,18-30,masters
511,927,male,0,30-45,professional
512,262,male,0,18-30,hs
513,814,male,0,45-60,masters
514,2377,male,1,30-45,hs
515,3813,female,1,18-30,hs
516,2439,male,0,Under 18,hs
517,602,male,0,30-45,professional
518,3590,male,0,30-45,professional
519,1682,male,0,45-60,hs
520,3449,female,0,18-30,masters
521,1949,female,0,18-30,bachelors
522,1674,male,0,30-45,some
523,2051,male,0,18-30,hs
524,1879,male,0,30-45,bachelors
525,1351,female,0,30-45,hs
526,3489,male,0,18-30,hs
527,1194,male,1,30-45,bachelors
528,3151,male,0,30-45,masters
529,365,female,1,18-30,bachelors
530,3639,male,0,30-45,bachelors
531,2703,male,1,30-45,bachelors
532,2864,male,0,18-30,professional
533,2083,male,0,30-45,bachelors
534,730,male,0,18-30,hs
535,3528,female,0,18-30,hs
536,324,male,0,18-30,hs
537,2217,male,0,18-30,bachelors
538,1500,female,0,18-30,bachelors
539,1315,male,0,18-30,hs
540,128,male,0,30-45,bachelors
541,211,female,0,18-30,masters
542,397,male,1,18-30,masters
543,1574,female,0,30-45,bachelors
544,3598,male,0,18-30,masters
545,1784,male,0,18-30,bachelors
546,853,female,0,30-45,hs
547,623,female,0,18-30,doctorate
548,4121,female,1,18-30,hs
549,2385,female,0,18-30,hs
550,777,male,0,18-30,hs
551,1846,female,0,18-30,professional
552,2483,male,0,30-45,hs
553,110,male,0,30-45,bachelors
554,3566,male,0,18-30,bachelors
555,813,male,0,18-30,bachelors
556,2732,male,0,,bachelors
557,2017,male,0,18-30,hs
558,4084,female,0,18-30,hs
559,2577,male,0,18-30,bachelors
560,3926,female,1,30-45,bachelors
561,3456,male,0,18-30,hs
562,225,male,0,30-45,professional
563,279,male,0,18-30,hs
564,734,male,1,18-30,professional
565,3169,male,1,18-30,hs
566,2524,female,1,45-60,some
567,1631,male,0,18-30,hs
568,256,male,0,18-30,bachelors
569,122,female,0,45-60,some
570,1907,male,0,45-60,bachelors
571,1273,male,1,Over 60,bachelors
572,1357,male,0,30-45,professional
573,2945,female,0,Over 60,bachelors
574,3041,male,1,18-30,hs
575,2346,male,0,18-30,bachelors
576,82,male,0,18-30,bachelors
577,395,male,0,18-30,bachelors
578,1183,male,0,30-45,masters
579,1689,male,1,18-30,bachelors
580,3702,female,0,45-60,professional
581,2428,male,0,18-30,bachelors
582,2306,male,1,18-30,professional
583,487,male,0,18-30,bachelors
584,1356,male,0,18-30,bachelors
585,1740,female,1,18-30,hs
586,1807,male,0,18-30,bachelors
587,516,male,0,18-30,hs
588,154,male,0,30-45,bachelors
589,406,male,0,18-30,bachelors
590,3842,female,0,30-45,professional
591,981,male,0,18-30,bachelors
592,2254,male,0,45-60,masters
593,124,male,0,30-45,bachelors
594,286,female,1,30-45,bachelors
595,2448,female,0,18-30,bachelors
596,2418,male,0,30-45,bachelors
597,1891,female,0,30-45,hs
598,1026,male,1,45-60,masters
599,2111,male,0,30-45,bachelors
600,2300,male,0,18-30,hs
601,2967,male,0,18-30,hs
602,338,male,0,30-45,professional
603,319,female,0,18-30,professional
604,840,male,0,18-30,hs
605,130,female,0,18-30,hs
606,790,male,0,18-30,bachelors
607,2592,female,0,30-45,bachelors
608,3171,male,1,18-30,hs
609,3212,male,0,18-30,doctorate
610,1330,female,1,,bachelors
611,508,male,0,18-30,hs
612,1304,male,0,,bachelors
613,349,male,0,18-30,bachelors
614,472,female,0,18-30,bachelors
615,1178,male,0,30-45,professional
616,90,female,0,18-30,hs
617,2495,male,0,45-60,bachelors
618,270,male,0,18-30,bachelors
619,2230,male,0,18-30,bachelors
620,4220,male,0,45-60,masters
621,2455,female,0,18-30,bachelors
622,2837,male,0,30-45,bachelors
623,333,female,0,18-30,hs
624,1046,male,0,30-45,masters
625,1036,male,0,18-30,some
626,2804,male,0,30-45,bachelors
627,2549,male,0,18-30,bachelors
628,1910,male,1,18-30,hs
629,415,female,1,30-45,hs
630,3173,male,0,18-30,hs
631,1746,male,0,18-30,bachelors
632,1025,female,0,18-30,professional
633,3355,male,0,30-45,bachelors
634,3222,male,0,45-60,hs
635,1058,male,0,30-45,bachelors
636,2112,female,0,18-30,bachelors
637,655,male,0,18-30,bachelors
638,4150,female,1,18-30,masters
639,1691,male,0,18-30,professional
640,1830,female,0,18-30,bachelors
641,3121,female,0,18-30,bachelors
642,33,female,0,30-45,doctorate
643,679,male,1,18-30,masters
644,1569,male,0,45-60,hs
645,3431,female,0,30-45,bachelors
646,1593,male,0,Under 18,hs
647,599,male,0,30-45,hs
648,387,male,0,18-30,hs
649,2171,male,0,30-45,doctorate
650,1864,female,1,45-60,hs
651,1660,female,1,30-45,bachelors
652,855,male,0,,bachelors
653,2499,female,1,45-60,hs
654,1999,male,0,18-30,professional
655,2750,female,0,45-60,bachelors
656,1755,male,0,18-30,bachelors
657,2918,female,0,30-45,bachelors
658,2737,male,0,45-60,bachelors
659,2756,male,0,18-30,bachelors
660,2312,female,0,30-45,hs
661,1110,male,0,Under 18,bachelors
662,4067,male,0,Under 18,hs
663,1852,female,0,30-45,hs
664,252,male,0,30-45,bachelors
665,2281,male,1,18-30,bachelors
666,1992,female,0,18-30,some
667,247,male,0,18-30,hs
668,1607,male,0,30-45,hs
669,4072,male,0,30-45,bachelors
670,3716,male,0,18-30,hs
671,1568,male,0,18-30,bachelors
672,3461,male,0,30-45,professional
673,3591,male,0,30-45,masters
674,1859,male,0,18-30,hs
675,2120,male,1,30-45,masters
676,1231,male,0,18-30,bachelors
677,1535,male,0,18-30,bachelors
678,2203,male,0,18-30,masters
679,2960,female,0,18-30,professional
680,1328,female,0,18-30,masters
681,1361,male,0,30-45,hs
682,2513,female,0,30-45,bachelors
683,3294,male,0,18-30,bachelors
684,2347,male,0,18-30,bachelors
685,1483,female,0,18-30,professional
686,1252,male,0,18-30,hs
687,2446,male,0,30-45,hs
688,503,male,0,18-30,hs
689,2489,male,0,18-30,masters
690,451,male,0,30-45,professional
691,3182,female,1,30-45,bachelors
692,1375,male,0,18-30,bachelors
693,2372,male,0,18-30,masters
694,4145,male,0,30-45,professional
695,2961,male,0,18-30,bachelors
696,551,male,0,30-45,bachelors
697,1596,male,0,18-30,hs
698,3008,male,0,18-30,hs
699,607,male,0,30-45,bachelors
700,869,male,0,18-30,hs
701,2214,male,1,18-30,doctorate
702,2341,male,0,45-60,bachelors
703,1836,female,0,18-30,professional
704,2903,female,1,18-30,bachelors
705,1861,male,1,18-30,hs
706,2449,male,0,18-30,bachelors
707,875,male,0,18-30,professional
708,1068,male,0,Under 18,some
709,96,male,0,18-30,bachelors
710,3247,male,0,30-45,masters
711,1211,male,0,Under 18,hs
712,426,male,0,18-30,professional
713,4135,male,1,18-30,doctorate
714,2363,male,0,18-30,masters
715,601,male,0,,hs
716,1170,male,0,18-30,professional
717,4111,male,0,30-45,masters
718,1464,female,0,30-45,masters
719,1516,male,0,18-30,professional
720,4192,male,0,30-45,bachelors
721,3141,male,0,18-30,hs
722,888,male,0,18-30,hs
723,1789,male,1,30-45,bachelors
724,2740,male,1,18-30,doctorate
725,1640,male,0,18-30,hs
726,1533,male,0,18-30,professional
727,1491,male,0,18-30,some
728,1403,male,1,18-30,bachelors
729,841,male,0,30-45,bachelors
730,2453,male,0,30-45,hs
731,4074,male,0,30-45,masters
732,1072,female,0,30-45,bachelors
733,2365,male,0,18-30,professional
734,3889,male,0,18-30,bachelors
735,1019,female,0,30-45,professional
736,907,female,0,30-45,hs
737,3890,male,1,45-60,bachelors
738,462,male,0,18-30,masters
739,1337,male,0,18-30,bachelors
740,3089,male,0,18-30,bachelors
741,1618,female,0,45-60,bachelors
742,1069,female,0,18-30,some
743,2578,female,0,18-30,bachelors
744,457,female,0,30-45,professional
745,1469,female,1,,bachelors
746,3623,male,0,18-30,bachelors
747,2221,male,1,45-60,professional
748,1115,male,0,18-30,bachelors
749,2311,male,0,18-30,professional
750,1207,female,0,30-45,hs
751,1067,male,0,30-45,masters
752,3873,female,1,18-30,hs
753,4285,male,0,18-30,hs
754,1318,male,0,18-30,bachelors
755,3600,female,1,45-60,professional
756,3505,male,0,30-45,masters
757,596,male,0,30-45,bachelors
758,857,male,0,18-30,professional
759,1665,female,0,30-45,hs
760,2528,male,1,18-30,professional
761,3559,male,0,30-45,hs
762,2367,male,0,30-45,masters
763,1681,female,1,30-45,hs
764,2730,male,0,30-45,bachelors
765,1739,male,0,18-30,hs
766,695,female,0,30-45,bachelors
767,2411,male,0,18-30,hs
768,366,male,0,30-45,hs
769,1092,male,0,30-45,bachelors
770,384,male,0,18-30,professional
771,75,male,0,18-30,professional
772,2770,female,0,30-45,masters
773,428,male,0,Under 18,hs
774,1390,female,0,30-45,bachelors
775,988,male,0,18-30,hs
776,3181,male,0,18-30,bachelors
777,4017,male,0,30-45,bachelors
778,244,male,1,18-30,bachelors
779,1475,male,0,30-45,hs
780,3175,male,0,30-45,bachelors
781,1958,male,0,30-45,bachelors
782,932,male,1,18-30,bachelors
783,3945,male,0,18-30,hs
784,2227,male,0,45-60,bachelors
785,3697,female,1,18-30,hs
786,68,male,0,18-30,professional
787,1934,female,0,18-30,bachelors
788,3007,male,0,18-30,professional
789,1059,male,0,30-45,hs
790,2473,female,0,45-60,bachelors
791,112,male,0,18-30,hs
792,1085,female,0,45-60,professional
793,1468,male,0,18-30,bachelors
794,1259,male,1,18-30,bachelors
795,984,male,0,30-45,bachelors
796,3761,male,1,30-45,bachelors
797,163,male,0,30-45,professional
798,972,male,0,45-60,hs
799,610,female,0,30-45,hs
800,992,male,0,30-45,masters
801,1939,female,0,18-30,masters
802,2923,male,0,30-45,professional
803,2052,male,0,30-45,professional
804,453,male,0,18-30,bachelors
805,422,female,0,30-45,bachelors
806,2415,male,0,18-30,hs
807,2996,male,1,30-45,hs
808,145,male,0,18-30,professional
809,2388,male,0,45-60,professional
810,4283,female,0,30-45,masters
811,439,male,0,30-45,masters
812,3662,female,1,30-45,hs
813,4085,male,0,18-30,hs
814,3524,male,0,18-30,bachelors
815,633,male,0,30-45,masters
816,1256,male,0,18-30,bachelors
817,2713,male,1,18-30,bachelors
818,731,male,0,18-30,masters
819,497,female,0,30-45,bachelors
820,1070,male,0,30-45,hs
821,942,female,0,45-60,some
822,870,male,0,30-45,bachelors
823,280,male,0,18-30,hs
824,849,male,0,30-45,masters
825,3525,female,1,45-60,professional
826,1038,female,1,45-60,hs
827,2251,male,1,45-60,hs
828,464,male,1,30-45,bachelors
829,1810,male,0,18-30,bachelors
830,970,male,0,45-60,bachelors
831,2253,male,0,18-30,hs
832,748,male,1,18-30,masters
833,1822,male,1,30-45,bachelors
834,3488,male,0,30-45,professional
835,4249,male,0,18-30,bachelors
836,1916,male,0,18-30,some
837,1300,male,0,18-30,hs
838,771,male,0,18-30,hs
839,2623,male,0,18-30,bachelors
840,2479,female,1,30-45,bachelors
841,872,male,0,30-45,bachelors
842,1620,male,1,18-30,none
843,4258,female,0,18-30,bachelors
844,25,male,0,30-45,masters
845,577,male,0,30-45,hs
846,1881,male,0,30-45,hs
847,1768,male,0,18-30,hs
848,1296,male,0,Over 60,bachelors
849,3653,male,0,30-45,hs
850,57,male,0,18-30,bachelors
